Subject,Difficulty,Type,Question,Option 1,Option 2,Option 3,Option 4,Correct Answer
English,Easy,Vocabulary,What is the opposite of 'Hot' ?,Cold,Warm,Cool,Frozen,Cold
English,Medium,Vocabulary,What is the antonym of 'Difficult' ?,Easy,Hard,Tricky,Complicated,Easy
English,Hard,Grammar,"Choose the correct word : ""I have never ______ that movie.""",see,saw,seen,seeing,seen
Maths,Easy,Arithmetic,What is 5 + 3 ?,6,7,8,9,8
Maths,Medium,Algebra,What is the value of x if 2x + 5 = 11 ?,1,3,5,6,3
Maths,Hard,Calculus,What is the integral of x ^ 2 ?,x ^ 3 / 3,2x,2x ^ 3 / 3,x ^ 2 + 1,x ^ 3 / 3
Maths,Easy,Arithmetic,What is the square of 12 ?,122,124,144,146,144
Maths,Medium,Algebra,Solve for y : 3y - 7 = 11.,2,4,6,7,6
Maths,Hard,Trigonometry,What is the derivative of sin(x) ?,cos(x),tan(x),sec(x),sin(x),cos(x)
History,Easy,Modern,Who was the founder of Pakistan ?,Mahatma Gandhi,Allama Iqbal,Liaquat Ali Khan,Quaid - e - Azam,Quaid - e - Azam
History,Medium,Modern,In which year did Pakistan gain independence ?,1945,1946,1947,1948,1947
History,Hard,Modern,Who was the first Governor - General of Pakistan ?,Liaquat Ali Khan,Ayub Khan,Quaid - e - Azam,Zulfiqar Bhutto,Quaid - e - Azam
History,Easy,Modern,Who was the first Prime Minister of Pakistan ?,Zulfiqar Bhutto,Liaquat Ali Khan,Benazir Bhutto,Ayub Khan,Liaquat Ali Khan
History,Medium,Modern,When was the Lahore Resolution passed ?,1939,1940,1941,1942,1940
History,Hard,Modern,Who led the Salt March in British India ?,Mahatma Gandhi,Jawaharlal Nehru,Subhash Chandra Bose,Sardar Patel,Mahatma Gandhi
General Knowledge,Easy,Geography,What is the capital of France ?,Berlin,Madrid,Paris,Rome,Paris
General Knowledge,Medium,Geography,Which ocean is the largest ?,Atlantic,Indian,Arctic,Pacific,Pacific
General Knowledge,Hard,Geography,Which is the tallest mountain in the world ?,K2,Kilimanjaro,Everest,Denali,Everest
General Knowledge,Easy,Animals,What is the national animal of Pakistan ?,Lion,Tiger,Markhor,Eagle,Markhor
General Knowledge,Medium,Geography,What is the capital city of Australia ?,Sydney,Melbourne,Canberra,Brisbane,Canberra
General Knowledge,Hard,Astronomy,Which planet is known as the Morning Star ?,Mars,Venus,Jupiter,Saturn,Venus
Programming,Easy,Concepts,Which language is primarily used for web development ?,Python,C,HTML,Java,HTML
Programming,Medium,Control Flow,What will this code output ? int x = 5; cout << x * x;,"""5""","""10""","""25""","""30""","""25"""
Programming,Medium,Concepts,Which of these is not a programming language ?,Python,HTML,Java,C,HTML
Programming,Hard,Syntax,Find the error : int main() { cout << 'Hello'; },No error,Missing semicolon,Missing return 0;,Incorrect brackets,Missing semicolon
English,Easy,Grammar,"Identify the noun : ""The cat sat on the mat.""",cat,sat,mat,the,cat
English,Medium,Vocabulary,Choose the correct synonym for 'Happy' :,Sad,Angry,Joyful,Bored,Joyful
English,Hard,Grammar,"Identify the grammatical error : ""He don't know the answer.""",do,don't,know,the,don't
English,Easy,Spelling,Choose the correct spelling :,accomodate,accommodate,acommodate,accomodait,accommodate
English,Medium,Vocabulary,What is the antonym of 'Brave' ?,Fearless,Cowardly,Timid,Bold,Cowardly
English,Hard,Grammar,"Correct the sentence : ""The boy goed to school.""",went,goes,go,will go,went
English,Easy,Grammar,What is a noun?,Person,Action,Place,Thing,Thing
English,Medium,Vocabulary,Opposite of 'Happy'?,Sad,Mad,Angry,Bored,Sad
English,Hard,Spelling,Correct: 'reciept' or 'receipt'?,reciept,receipt,receit,recieve,receipt
Maths,Easy,Arithmetic,What is 7-2?,4,5,6,7,5
Maths,Medium,Algebra,Solve: 2x=8,2,4,6,8,4
Maths,Hard,Geometry,Sides of a triangle?,2,3,4,5,3
History,Easy,Modern,WW2 end year?,1944,1945,1946,1947,1945
History,Medium,Ancient,Roman Empire ruler?,Caesar,Cleopatra,Hannibal,Augustus,Caesar
History,Hard,Medieval,Black Death cause?,War,Plague,Famine,Fire,Plague
General Knowledge,Easy,Geography,Africa's tallest peak?,Kilimanjaro,Everest,Fuji,Matterhorn,Kilimanjaro
General Knowledge,Medium,Science,Blood type?,A,B,AB,O,All of the above
General Knowledge,Hard,Literature,Shakespeare's play?,Hamlet,Romeo,Macbeth,Othello,All of the above
Programming,Easy,Concepts,HTML for?,Web,Apps,Games,Databases,Web
Programming,Medium,Concepts,Loop repeats?,Code,Data,Program,Output,Code
